Unnamed: 0,Brand,Year,months,days,Qty,Rate,Amount
383,46,2018,9,22,210,2460.0,516600.0
384,70,2018,9,22,200,2050.0,410000.0
385,27,2018,9,22,140,2470.0,345800.0
386,65,2018,9,22,250,1500.0,375000.0
387,22,2018,9,22,50,3300.0,165000.0
388,33,2018,9,22,120,2850.0,342000.0
389,70,2018,9,23,8,2050.0,16400.0
390,33,2018,9,23,30,2850.0,85500.0
391,70,2018,9,23,40,2050.0,82000.0
392,27,2018,9,23,35,2470.0,86450.0
393,9,2018,9,23,18,2820.0,50760.0
394,22,2018,9,23,10,3300.0,33000.0
395,33,2018,9,23,30,2850.0,85500.0
396,70,2018,9,23,40,2050.0,82000.0
397,27,2018,9,23,35,2470.0,86450.0
398,65,2018,9,23,50,1500.0,75000.0
399,70,2018,9,23,40,2050.0,82000.0
400,33,2018,9,23,30,2850.0,85500.0
401,57,2018,9,23,5,3300.0,16500.0
402,57,2018,9,23,20,3300.0,66000.0
403,65,2018,9,23,20,1800.0,36000.0
404,76,2018,9,23,20,1500.0,30000.0
405,70,2018,9,23,16,2050.0,32800.0
406,46,2018,9,23,14,2460.0,34440.0
407,65,2018,9,23,20,1500.0,30000.0
408,70,2018,9,23,160,2050.0,328000.0
409,46,2018,9,23,140,2460.0,344400.0
410,44,2018,9,23,100,1840.0,184000.0
411,57,2018,9,23,50,3300.0,165000.0
412,65,2018,9,23,100,1500.0,150000.0
413,46,2018,9,23,70,2460.0,172200.0
414,70,2018,9,23,80,2050.0,164000.0
415,44,2018,9,23,100,1840.0,184000.0
416,33,2018,9,23,60,2850.0,171000.0
417,27,2018,9,23,70,2470.0,172900.0
418,57,2018,9,23,15,3300.0,49500.0
419,27,2018,9,23,35,2470.0,86450.0
420,65,2018,9,23,50,1500.0,75000.0
421,33,2018,9,23,30,2850.0,85500.0
422,57,2018,9,23,10,3300.0,33000.0
423,44,2018,9,24,50,1840.0,92000.0
424,70,2018,9,24,40,2050.0,82000.0
425,33,2018,9,24,30,2850.0,85500.0
426,46,2018,9,24,35,2460.0,86100.0
427,44,2018,9,24,30,1840.0,55200.0
428,70,2018,9,24,24,2050.0,49200.0
429,46,2018,9,24,21,2460.0,51660.0
430,33,2018,9,24,18,2850.0,51300.0
431,70,2018,9,24,32,2050.0,65600.0
432,46,2018,9,24,28,2460.0,68880.0
433,44,2018,9,24,40,1840.0,73600.0
434,33,2018,9,24,24,2850.0,68400.0
435,70,2018,9,24,40,2050.0,82000.0
436,46,2018,9,24,35,2460.0,86100.0
437,33,2018,9,24,30,2850.0,85500.0
438,44,2018,9,24,50,1840.0,92000.0
439,46,2018,9,24,35,2460.0,86100.0
440,44,2018,9,24,50,1840.0,92000.0
441,44,2018,9,24,10,1840.0,18400.0
442,70,2018,9,24,8,2050.0,16400.0
443,46,2018,9,24,7,2460.0,17220.0
444,57,2018,9,24,5,3300.0,16500.0
445,9,2018,9,24,6,2820.0,16920.0
446,10,2018,9,24,7,2480.0,17360.0
447,27,2018,9,24,7,2470.0,17290.0
448,44,2018,9,24,50,1840.0,92000.0
449,70,2018,9,24,80,2050.0,164000.0
450,46,2018,9,24,70,2460.0,172200.0
451,33,2018,9,24,30,2850.0,85500.0
452,27,2018,9,24,35,2470.0,86450.0
453,70,2018,9,24,8,2050.0,16400.0
454,76,2018,9,24,10,1500.0,15000.0
455,46,2018,9,24,7,2460.0,17220.0
456,65,2018,9,24,10,1500.0,15000.0
457,27,2018,9,24,7,2470.0,17290.0
458,10,2018,9,24,14,2480.0,34720.0
459,44,2018,9,24,100,1840.0,184000.0
460,46,2018,9,24,70,2460.0,172200.0
461,27,2018,9,24,35,2470.0,86450.0
462,76,2018,9,24,10,1500.0,15000.0
463,44,2018,9,24,10,1850.0,18500.0
464,70,2018,9,24,8,2050.0,16400.0
465,46,2018,9,24,7,2460.0,17220.0
466,33,2018,9,24,6,2850.0,17100.0
467,57,2018,9,24,5,3300.0,16500.0
468,9,2018,9,24,6,2820.0,16920.0
469,22,2018,9,24,5,3300.0,16500.0
470,44,2018,9,24,10,1850.0,18500.0
471,70,2018,9,24,8,2050.0,16400.0
472,46,2018,9,24,7,2460.0,17220.0
473,33,2018,9,24,6,2850.0,17100.0
474,57,2018,9,24,5,3300.0,16500.0
475,9,2018,9,24,6,2820.0,16920.0
476,22,2018,9,24,5,3300.0,16500.0
477,9,2018,9,24,6,2820.0,16920.0
478,57,2018,9,24,5,3300.0,16500.0
479,33,2018,9,24,6,2850.0,17100.0
480,46,2018,9,24,7,2460.0,17220.0
481,44,2018,9,24,50,1840.0,92000.0
482,46,2018,9,24,140,2460.0,344400.0
483,70,2018,9,24,80,2050.0,164000.0
484,46,2018,9,24,70,2460.0,172200.0
485,46,2018,9,24,35,2460.0,86100.0
486,44,2018,9,24,50,1840.0,92000.0
487,46,2018,9,24,35,2460.0,86100.0
488,44,2018,9,24,50,1840.0,92000.0
489,46,2018,9,24,35,2460.0,86100.0
490,76,2018,9,24,10,1500.0,15000.0
491,10,2018,9,24,7,2480.0,17360.0
492,46,2018,9,24,7,2460.0,17220.0
493,9,2018,9,24,6,2820.0,16920.0
494,22,2018,9,24,5,3300.0,16500.0
495,57,2018,9,24,5,3300.0,16500.0
496,70,2018,9,24,8,2050.0,16400.0
497,46,2018,9,24,21,2460.0,51660.0
498,70,2018,9,24,24,2050.0,49200.0
499,44,2018,9,24,20,1840.0,36800.0
500,33,2018,9,24,12,2850.0,34200.0
501,57,2018,9,24,25,3300.0,82500.0
502,22,2018,9,24,25,3300.0,82500.0
503,44,2018,9,24,50,1840.0,92000.0
504,27,2018,9,24,35,2470.0,86450.0
505,70,2018,9,24,40,2050.0,82000.0
506,33,2018,9,24,30,2850.0,85500.0
507,46,2018,9,24,21,2460.0,51660.0
508,70,2018,9,24,16,2050.0,32800.0
509,33,2018,9,24,6,2850.0,17100.0
510,46,2018,9,24,35,2460.0,86100.0
511,70,2018,9,24,40,2050.0,82000.0
512,33,2018,9,24,30,2850.0,85500.0
513,44,2018,9,24,50,1840.0,92000.0
514,27,2018,9,24,35,2470.0,86450.0
515,46,2018,9,24,7,2460.0,17220.0
516,70,2018,9,24,8,2050.0,16400.0
517,44,2018,9,24,10,1840.0,18400.0
518,70,2018,9,24,40,2050.0,82000.0
519,10,2018,9,24,14,2480.0,34720.0
520,9,2018,9,24,24,2820.0,67680.0
521,33,2018,9,24,12,2850.0,34200.0
522,70,2018,9,24,48,2050.0,98400.0
523,46,2018,9,24,42,2460.0,103320.0
524,33,2018,9,24,36,2850.0,102600.0
525,46,2018,9,24,14,2460.0,34440.0
526,70,2018,9,24,8,2050.0,16400.0
527,33,2018,9,24,6,2850.0,17100.0
528,76,2018,9,24,10,1500.0,15000.0
529,46,2018,9,24,35,2460.0,86100.0
530,70,2018,9,24,16,2050.0,32800.0
531,46,2018,9,24,21,2460.0,51660.0
532,57,2018,9,24,10,3300.0,33000.0
533,44,2018,9,25,50,1840.0,92000.0
534,22,2018,9,25,10,3300.0,33000.0
535,9,2018,9,25,12,2820.0,33840.0
536,33,2018,9,25,12,2850.0,34200.0
537,20,2018,9,25,72,510.0,36720.0
538,34,2018,9,25,96,515.0,49440.0
539,70,2018,9,25,32,2050.0,65600.0
540,65,2018,9,25,30,1500.0,45000.0
541,76,2018,9,25,30,1500.0,45000.0
542,46,2018,9,25,14,2460.0,34440.0
543,27,2018,9,25,20,1500.0,30000.0
544,27,2018,9,25,14,2470.0,34580.0
545,10,2018,9,25,14,2480.0,34720.0
546,57,2018,9,25,10,3300.0,33000.0
547,22,2018,9,25,25,3300.0,82500.0
548,57,2018,9,25,25,3300.0,82500.0
549,9,2018,9,25,30,2820.0,84600.0
550,33,2018,9,25,30,2850.0,85500.0
551,46,2018,9,25,35,2460.0,86100.0
552,44,2018,9,25,50,1840.0,92000.0
553,44,2018,9,25,50,1840.0,92000.0
554,46,2018,9,25,35,2460.0,86100.0
555,70,2018,9,25,40,2050.0,82000.0
556,27,2018,9,25,35,2470.0,86450.0
557,22,2018,9,25,25,3300.0,82500.0
558,57,2018,9,25,25,3300.0,82500.0
559,9,2018,9,25,30,2820.0,84600.0
560,70,2018,9,25,40,2050.0,82000.0
561,33,2018,9,25,30,2850.0,85500.0
