,Product Name,Price
303,"APPLE iPhone 12 Mini (Black, 128 GB)","₹54,999"
304,"APPLE iPhone 12 Mini (White, 256 GB)","₹64,999"
305,"APPLE iPhone 12 Mini (White, 128 GB)","₹54,999"
306,"APPLE iPhone 12 Mini (Red, 128 GB)","₹54,999"
307,"APPLE iPhone 12 Mini (Red, 64 GB)","₹49,999"
308,"Infinix Hot 10 Play (Aegean Blue, 32 GB)","₹8,299"
309,"Infinix Hot 10 Play (Morandi Green, 32 GB)","₹8,299"
310,"Infinix Hot 10 Play (7° Purple, 32 GB)","₹8,299"
311,"Infinix Hot 10 Play (7° Purple, 64 GB)","₹9,299"
312,"Infinix Hot 10 Play (Obsidian Black, 32 GB)","₹8,299"
313,"Infinix Hot 10 Play (Aegean Blue, 64 GB)","₹9,299"
314,"Infinix Hot 10 Play (Morandi Green, 64 GB)","₹9,299"
315,"Infinix Hot 10 Play (Obsidian Black, 64 GB)","₹9,299"
316,"MOTOROLA G60 (Dynamic Gray, 128 GB)","₹17,999"
317,"MOTOROLA G60 (Frosted Champagne, 128 GB)","₹17,999"
318,"APPLE iPhone SE (Black, 64 GB)","₹29,999"
319,"APPLE iPhone SE (White, 64 GB)","₹29,999"
320,"APPLE iPhone SE (Red, 64 GB)","₹29,999"
321,"APPLE iPhone SE (Black, 128 GB)","₹34,999"
322,"APPLE iPhone SE (Red, 128 GB)","₹34,999"
323,"APPLE iPhone SE (White, 128 GB)","₹34,999"
324,"APPLE iPhone SE (White, 256 GB)","₹44,999"
325,"APPLE iPhone SE (Red, 256 GB)","₹44,999"
326,"APPLE iPhone SE (Black, 256 GB)","₹44,999"
327,"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)","₹44,999"
328,"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)","₹29,999"
329,"Apple iPhone SE (White, 128 GB) (Includes EarPods, Power Adapter)","₹34,999"
330,"Apple iPhone SE (Red, 128 GB) (Includes EarPods, Power Adapter)","₹34,999"
331,"Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)","₹29,999"
332,"Apple iPhone SE (Black, 256 GB) (Includes EarPods, Power Adapter)","₹44,999"
333,"Apple iPhone SE (Red, 64 GB) (Includes EarPods, Power Adapter)","₹29,999"
334,"Apple iPhone SE (Black, 128 GB) (Includes EarPods, Power Adapter)","₹34,999"
335,"Apple iPhone SE (Red, 256 GB) (Includes EarPods, Power Adapter)","₹44,999"
336,"realme Narzo 50i (Carbon Black, 32 GB)","₹7,499"
337,"realme Narzo 50i (Mint Green, 32 GB)","₹7,499"
338,"realme Narzo 50i (Mint Green, 64 GB)","₹8,999"
339,"realme Narzo 50i (Carbon Black, 64 GB)","₹8,999"
340,"REDMI 9i Sport (Coral Green, 64 GB)","₹8,999"
341,"REDMI 9i Sport (Metallic Blue, 64 GB)","₹8,999"
342,"REDMI 9i Sport (Carbon Black, 64 GB)","₹8,999"
343,"REDMI 9i Sport (Coral Green, 128 GB)","₹10,999"
344,"REDMI 9i Sport (Carbon Black, 128 GB)","₹10,999"
345,"REDMI 9i Sport (Metallic Blue, 128 GB)","₹10,999"
346,"realme C25Y (Metal Grey, 128 GB)","₹11,999"
347,"realme C25Y (Glacier Blue, 128 GB)","₹11,999"
348,"realme C25_Y (Glacier Blue, 64 GB)","₹10,999"
349,"realme C25_Y (Metal Grey, 64 GB)","₹10,999"
350,"realme C25_Y (Glacier Blue, 128 GB)","₹11,999"
351,"realme C25_Y (Metal Grey, 128 GB)","₹11,999"
352,"realme C25Y (Glacier Blue, 64 GB)","₹10,999"
353,"realme C25Y (Metal Grey, 64 GB)","₹10,999"
354,"OPPO A53s 5G (Ink Black, 128 GB)","₹15,990"
355,"OPPO A53s 5G (Crystal Blue, 128 GB)","₹17,990"
356,"OPPO A53s 5G (Ink Black, 128 GB)","₹17,990"
357,"OPPO A53s 5G (Crystal Blue, 128 GB)","₹15,990"
358,"realme 8 (Cyber Black, 128 GB)","₹16,999"
359,"realme 8 (Cyber Silver, 128 GB)","₹17,999"
360,"realme 8 (Cyber Black, 128 GB)","₹17,999"
361,"realme 8 (Cyber Silver, 128 GB)","₹16,999"
362,"realme GT Master Edition (Cosmos Black, 128 GB)","₹25,999"
363,"realme GT Master Edition (Daybreak Blue, 128 GB)","₹25,999"
364,"realme GT Master Edition (Cosmos Black, 128 GB)","₹27,999"
365,"realme GT Master Edition (Luna White, 128 GB)","₹27,999"
366,"realme GT Master Edition (Voyager Grey, 256 GB)","₹29,999"
367,"realme GT Master Edition (Cosmos Black, 256 GB)","₹29,999"
368,"realme GT Master Edition (Luna White, 256 GB)","₹29,999"
369,"realme GT Master Edition (Daybreak Blue, 256 GB)","₹29,999"
370,"realme 3 (Radiant Blue, 32 GB)","₹10,999"
371,"realme 3 (Dynamic Black, 32 GB)","₹10,999"
372,"realme 3 (Radiant Blue, 64 GB)","₹11,999"
373,"realme 3 (Dynamic Black, 64 GB)","₹11,999"
374,"realme 3 (Black, 32 GB)","₹10,999"
375,"realme 3 (Diamond Red, 32 GB)","₹10,999"
376,"realme 3 (Black, 64 GB)","₹12,999"
377,"realme 3 (Dynamic Black, 64 GB)","₹12,999"
378,"realme 3 (Radiant Blue, 64 GB)","₹12,999"
