,Day,DayAmount
523,737816,9520.0
524,737817,2746170.0
525,737818,4862350.2
526,737819,890.02
527,737820,79760.0
528,737821,8338900.0
529,737823,51165.11
530,737824,205700.08
531,737825,2248390.0
532,737826,2215240.0
533,737830,400.0
534,737834,1125.16
535,737835,1600.0
536,737837,17100.0
537,737838,541957.0
538,737839,1060100.0
539,737840,14937494.48
540,737841,12285.0
541,737842,29370.28
542,737844,11980.0
543,737845,3120.0
544,737846,5316240.0
545,737847,3675.0
546,737848,4096600.0
547,737850,37160.08
548,737851,31200.0
549,737852,31498.0
550,737853,1500.0
551,737854,1600.0
552,737855,3425856.0
553,737857,4397.0
554,737858,1296800.0
555,737859,5003600.0
556,737860,3630770.0
557,737861,2308400.0
558,737862,3288970.0
559,737864,20660.0
560,737865,8500.0
561,737866,14107.98
562,737867,6518880.0
563,737868,120.0
564,737869,2410.0
565,737870,23000.0
566,737871,20426610.0
567,737872,51900.0
568,737873,7290000.0
569,737874,68690.0
570,737875,725000.0
571,737877,23000.0
572,737881,382169.0
573,737882,25821.59
574,737883,0.0
575,737885,0.0
576,737887,3003200.0
577,737888,8886100.0
578,737889,7736200.0
579,737890,11230.0
580,737892,39342.4
581,737893,7460.0
582,737894,700.0
583,737895,800.0
584,737904,9388750.0
585,737906,39385.0
586,737907,726000.0
587,737909,0.0
588,737912,36319000.0
589,737913,4433136.99
590,737914,8920000.0
591,737916,8530.0
592,737917,87110.0
593,737919,3695.0
594,737920,140.0
595,737921,2370.0
596,737922,9191682.24
597,737923,47901.0
598,737924,3250.0
599,737926,8780.0
600,737927,349372.32
601,737928,8520.11
602,737929,247935.74
603,737930,7050.03
604,737931,208982.0
605,737932,1024538.0
606,737933,15799970.16
607,737934,171498.52000000002
608,737935,1332005.0
609,737936,9373049.0
610,737937,92750.0
611,737938,698787.68
612,737939,23213.0
613,737940,75250.15
614,737941,1473858.17
615,737942,1102440.97
616,737943,703091.2
617,737944,725771.4
618,737946,56188.36
619,737947,638177.71
620,737948,52170.0
621,737949,6682581.53
622,737950,41779300.0
623,737951,868.0
624,737953,83053.0
625,737954,1713457.43
626,737955,3138883.41
627,737956,22670.0
628,737957,120370.4
629,737958,55460.0
630,737959,7200000.0
631,737960,8175.0
632,737961,96107.29
633,737962,52470.0
634,737963,75945.0
635,737964,214932.55
636,737965,15298100.02
637,737966,604590.4
638,737967,767446.4
639,737968,15160.0
640,737969,12094.0
641,737970,25952210.0
642,737971,2780.0
643,737972,65631.59
644,737974,27375.0
645,737975,95510.0
646,737976,88760.0
647,737977,113995.0
648,737978,5700.0
649,737979,178760.0
650,737981,32300.0
651,737982,29316.0
652,737983,2226.0
653,737984,20.0
654,737986,0.0
655,737988,7755.0
656,737989,8240.0
657,737990,180797.04
658,737991,7884208.0
659,737992,90110.0
660,737993,275768.1
661,737995,62765.0
662,737996,311423.0
663,737997,167117.0
664,737998,110964.31000000001
665,737999,53500.0
666,738001,73290.0
667,738002,6960.0
668,738003,720.2
669,738004,24335.0
670,738005,148860.2
671,738006,45850.0
672,738008,5840.0
673,738009,3800.0
674,738010,10320.0
675,738011,114116.0
676,738012,6270.0
677,738013,27000.0
678,738015,80982.04000000001
679,738016,140700.0
680,738017,19693416.18
681,738018,221056.29
682,738019,254547.0
683,738020,90020.0
684,738021,0.0
685,738022,63990.04
686,738023,50000.0
687,738025,260250.0
688,738026,204064.78
689,738029,5969290.0
690,738030,10240.0
691,738031,54101.0
692,738032,27024000.0
693,738033,2530.0
694,738034,0.0
695,738036,60874.0
696,738037,5110.0
697,738038,2130.0
698,738040,2500.0
699,738043,795.0
700,738044,4620.0
701,738045,129110.3
702,738046,1920.0
703,738047,75900.0
704,738049,0.0
705,738050,28299.0
706,738051,8330.04
707,738052,158554.0
708,738053,48863.0
709,738054,17500.0
710,738055,25.0
711,738061,2754.0
712,738062,50000.0
713,738063,0.0
714,738064,50.0
715,738066,127634.0
716,738068,22650.87
717,738069,41826.0
718,738070,3750.0
719,738072,14700.0
720,738073,0.0
721,738075,680.0
722,738076,101225.0
723,738077,66850.0
724,738078,155375.0
725,738079,0.0
726,738081,1348760.0
727,738082,65265.0
728,738083,1750.0
729,738084,37350.0
730,738085,17665.0
731,738086,0.0
732,738087,13860.0
733,738089,2490.0
734,738090,5720.0
