Brand,Year,months,days,Qty,Rate,Amount
65,2018,9,20,50,1500.0,75000.0
76,2018,9,20,50,1500.0,75000.0
22,2018,9,20,25,3300.0,82500.0
57,2018,9,20,25,3250.0,81250.0
9,2018,9,20,30,2820.0,84600.0
57,2018,9,20,10,3250.0,32500.0
22,2018,9,20,5,3300.0,16500.0
65,2018,9,20,50,1500.0,75000.0
65,2018,9,20,50,1800.0,90000.0
27,2018,9,20,35,2470.0,86450.0
9,2018,9,20,30,2820.0,84600.0
22,2018,9,20,25,3300.0,82500.0
76,2018,9,20,50,1500.0,75000.0
57,2018,9,20,25,3250.0,81250.0
65,2018,9,20,50,1500.0,75000.0
70,2018,9,22,240,2050.0,492000.0
46,2018,9,22,140,2460.0,344400.0
33,2018,9,22,120,2850.0,342000.0
27,2018,9,22,175,2470.0,432250.0
57,2018,9,22,25,3300.0,82500.0
65,2018,9,22,300,1500.0,450000.0
70,2018,9,22,40,2050.0,82000.0
33,2018,9,22,30,2850.0,85500.0
57,2018,9,22,10,3300.0,33000.0
70,2018,9,22,80,2050.0,164000.0
33,2018,9,22,30,2850.0,85500.0
9,2018,9,22,30,2820.0,84600.0
22,2018,9,22,25,3300.0,82500.0
76,2018,9,22,50,1500.0,75000.0
70,2018,9,22,40,2050.0,82000.0
65,2018,9,22,50,1800.0,90000.0
33,2018,9,22,30,2850.0,85500.0
27,2018,9,22,35,2470.0,86450.0
9,2018,9,22,30,2820.0,84600.0
22,2018,9,22,25,3300.0,82500.0
57,2018,9,22,25,3300.0,82500.0
33,2018,9,22,30,2850.0,85500.0
46,2018,9,22,35,2460.0,86100.0
70,2018,9,22,40,2050.0,82000.0
70,2018,9,22,80,2050.0,164000.0
33,2018,9,22,30,2850.0,85500.0
46,2018,9,22,7,2460.0,17220.0
65,2018,9,22,30,1500.0,45000.0
27,2018,9,22,7,2470.0,17290.0
33,2018,9,22,6,2850.0,17100.0
70,2018,9,22,16,2050.0,32800.0
46,2018,9,22,210,2460.0,516600.0
70,2018,9,22,200,2050.0,410000.0
27,2018,9,22,140,2470.0,345800.0
65,2018,9,22,250,1500.0,375000.0
22,2018,9,22,50,3300.0,165000.0
33,2018,9,22,120,2850.0,342000.0
70,2018,9,23,8,2050.0,16400.0
33,2018,9,23,30,2850.0,85500.0
70,2018,9,23,40,2050.0,82000.0
27,2018,9,23,35,2470.0,86450.0
9,2018,9,23,18,2820.0,50760.0
22,2018,9,23,10,3300.0,33000.0
33,2018,9,23,30,2850.0,85500.0
70,2018,9,23,40,2050.0,82000.0
27,2018,9,23,35,2470.0,86450.0
65,2018,9,23,50,1500.0,75000.0
70,2018,9,23,40,2050.0,82000.0
33,2018,9,23,30,2850.0,85500.0
57,2018,9,23,5,3300.0,16500.0
57,2018,9,23,20,3300.0,66000.0
65,2018,9,23,20,1800.0,36000.0
76,2018,9,23,20,1500.0,30000.0
70,2018,9,23,16,2050.0,32800.0
46,2018,9,23,14,2460.0,34440.0
65,2018,9,23,20,1500.0,30000.0
70,2018,9,23,160,2050.0,328000.0
46,2018,9,23,140,2460.0,344400.0
44,2018,9,23,100,1840.0,184000.0
57,2018,9,23,50,3300.0,165000.0
65,2018,9,23,100,1500.0,150000.0
46,2018,9,23,70,2460.0,172200.0
70,2018,9,23,80,2050.0,164000.0
44,2018,9,23,100,1840.0,184000.0
33,2018,9,23,60,2850.0,171000.0
27,2018,9,23,70,2470.0,172900.0
57,2018,9,23,15,3300.0,49500.0
27,2018,9,23,35,2470.0,86450.0
65,2018,9,23,50,1500.0,75000.0
33,2018,9,23,30,2850.0,85500.0
57,2018,9,23,10,3300.0,33000.0
44,2018,9,24,50,1840.0,92000.0
70,2018,9,24,40,2050.0,82000.0
33,2018,9,24,30,2850.0,85500.0
46,2018,9,24,35,2460.0,86100.0
44,2018,9,24,30,1840.0,55200.0
70,2018,9,24,24,2050.0,49200.0
46,2018,9,24,21,2460.0,51660.0
33,2018,9,24,18,2850.0,51300.0
70,2018,9,24,32,2050.0,65600.0
46,2018,9,24,28,2460.0,68880.0
44,2018,9,24,40,1840.0,73600.0
33,2018,9,24,24,2850.0,68400.0
70,2018,9,24,40,2050.0,82000.0
46,2018,9,24,35,2460.0,86100.0
33,2018,9,24,30,2850.0,85500.0
44,2018,9,24,50,1840.0,92000.0
46,2018,9,24,35,2460.0,86100.0
44,2018,9,24,50,1840.0,92000.0
44,2018,9,24,10,1840.0,18400.0
70,2018,9,24,8,2050.0,16400.0
46,2018,9,24,7,2460.0,17220.0
57,2018,9,24,5,3300.0,16500.0
9,2018,9,24,6,2820.0,16920.0
10,2018,9,24,7,2480.0,17360.0
27,2018,9,24,7,2470.0,17290.0
44,2018,9,24,50,1840.0,92000.0
70,2018,9,24,80,2050.0,164000.0
46,2018,9,24,70,2460.0,172200.0
33,2018,9,24,30,2850.0,85500.0
27,2018,9,24,35,2470.0,86450.0
70,2018,9,24,8,2050.0,16400.0
76,2018,9,24,10,1500.0,15000.0
46,2018,9,24,7,2460.0,17220.0
65,2018,9,24,10,1500.0,15000.0
27,2018,9,24,7,2470.0,17290.0
10,2018,9,24,14,2480.0,34720.0
44,2018,9,24,100,1840.0,184000.0
46,2018,9,24,70,2460.0,172200.0
27,2018,9,24,35,2470.0,86450.0
76,2018,9,24,10,1500.0,15000.0
44,2018,9,24,10,1850.0,18500.0
70,2018,9,24,8,2050.0,16400.0
46,2018,9,24,7,2460.0,17220.0
33,2018,9,24,6,2850.0,17100.0
57,2018,9,24,5,3300.0,16500.0
9,2018,9,24,6,2820.0,16920.0
22,2018,9,24,5,3300.0,16500.0
44,2018,9,24,10,1850.0,18500.0
70,2018,9,24,8,2050.0,16400.0
46,2018,9,24,7,2460.0,17220.0
33,2018,9,24,6,2850.0,17100.0
57,2018,9,24,5,3300.0,16500.0
9,2018,9,24,6,2820.0,16920.0
22,2018,9,24,5,3300.0,16500.0
9,2018,9,24,6,2820.0,16920.0
57,2018,9,24,5,3300.0,16500.0
33,2018,9,24,6,2850.0,17100.0
46,2018,9,24,7,2460.0,17220.0
44,2018,9,24,50,1840.0,92000.0
46,2018,9,24,140,2460.0,344400.0
70,2018,9,24,80,2050.0,164000.0
46,2018,9,24,70,2460.0,172200.0
46,2018,9,24,35,2460.0,86100.0
44,2018,9,24,50,1840.0,92000.0
